# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
 -19.205  0.143E-03  0.143E-03  0.189E-10  0.189E-10
 -19.155  0.954E-03  0.954E-03  0.126E-09  0.126E-09
 -19.105  0.509E-02  0.509E-02  0.675E-09  0.675E-09
 -19.055  0.218E-01  0.218E-01  0.288E-08  0.288E-08
 -19.005  0.743E-01  0.743E-01  0.984E-08  0.984E-08
 -18.955  0.203E+00  0.203E+00  0.269E-07  0.269E-07
 -18.905  0.444E+00  0.444E+00  0.587E-07  0.587E-07
 -18.855  0.777E+00  0.777E+00  0.103E-06  0.103E-06
 -18.805  0.109E+01  0.109E+01  0.144E-06  0.144E-06
 -18.755  0.122E+01  0.122E+01  0.161E-06  0.161E-06
 -18.705  0.109E+01  0.109E+01  0.144E-06  0.144E-06
 -18.655  0.780E+00  0.780E+00  0.103E-06  0.103E-06
 -18.605  0.447E+00  0.447E+00  0.589E-07  0.589E-07
 -18.555  0.205E+00  0.205E+00  0.270E-07  0.270E-07
 -18.505  0.751E-01  0.751E-01  0.989E-08  0.989E-08
 -18.455  0.220E-01  0.220E-01  0.290E-08  0.290E-08
 -18.405  0.516E-02  0.516E-02  0.680E-09  0.680E-09
 -18.355  0.969E-03  0.969E-03  0.128E-09  0.128E-09
 -18.305  0.145E-03  0.145E-03  0.191E-10  0.191E-10
 -18.255  0.175E-04  0.175E-04  0.230E-11  0.230E-11
 -18.205  0.168E-05  0.168E-05  0.220E-12  0.220E-12
 -18.155  0.129E-06  0.129E-06  0.169E-13  0.169E-13
 -18.105  0.792E-08  0.792E-08  0.104E-14  0.104E-14
 -18.055  0.389E-09  0.389E-09  0.511E-16  0.511E-16
 -18.005  0.153E-10  0.153E-10  0.201E-17  0.201E-17
 -17.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.805  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.755  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.705  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.655  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.605  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.555  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.505  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.455  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.405  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.355  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.305  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.255  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.205  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.155  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.105  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.055  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -17.005  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.955  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.905  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.855  0.000E+00  0.000E+00  0.000E+00  0.000E+00
