# E (eV)   ldos(E)   pdos(E)   
  -5.086  0.293E-06  0.293E-06
  -5.036  0.207E-05  0.207E-05
  -4.986  0.119E-04  0.119E-04
  -4.936  0.561E-04  0.561E-04
  -4.886  0.217E-03  0.217E-03
  -4.836  0.694E-03  0.694E-03
  -4.786  0.183E-02  0.183E-02
  -4.736  0.401E-02  0.401E-02
  -4.686  0.729E-02  0.729E-02
  -4.636  0.111E-01  0.111E-01
  -4.586  0.146E-01  0.146E-01
  -4.536  0.169E-01  0.169E-01
  -4.486  0.182E-01  0.182E-01
  -4.436  0.189E-01  0.189E-01
  -4.386  0.186E-01  0.186E-01
  -4.336  0.173E-01  0.173E-01
  -4.286  0.153E-01  0.153E-01
  -4.236  0.140E-01  0.140E-01
  -4.186  0.142E-01  0.142E-01
  -4.136  0.153E-01  0.153E-01
  -4.086  0.158E-01  0.158E-01
  -4.036  0.148E-01  0.148E-01
  -3.986  0.127E-01  0.127E-01
  -3.936  0.105E-01  0.105E-01
  -3.886  0.939E-02  0.939E-02
  -3.836  0.994E-02  0.994E-02
  -3.786  0.117E-01  0.117E-01
  -3.736  0.135E-01  0.135E-01
  -3.686  0.138E-01  0.138E-01
  -3.636  0.123E-01  0.123E-01
  -3.586  0.101E-01  0.101E-01
  -3.536  0.866E-02  0.866E-02
  -3.486  0.895E-02  0.895E-02
  -3.436  0.115E-01  0.115E-01
  -3.386  0.164E-01  0.164E-01
  -3.336  0.230E-01  0.230E-01
  -3.286  0.297E-01  0.297E-01
  -3.236  0.348E-01  0.348E-01
  -3.186  0.375E-01  0.375E-01
  -3.136  0.383E-01  0.383E-01
  -3.086  0.377E-01  0.377E-01
  -3.036  0.361E-01  0.361E-01
  -2.986  0.343E-01  0.343E-01
  -2.936  0.341E-01  0.341E-01
  -2.886  0.363E-01  0.363E-01
  -2.836  0.396E-01  0.396E-01
  -2.786  0.410E-01  0.410E-01
  -2.736  0.391E-01  0.391E-01
  -2.686  0.350E-01  0.350E-01
  -2.636  0.312E-01  0.312E-01
  -2.586  0.301E-01  0.301E-01
  -2.536  0.323E-01  0.323E-01
  -2.486  0.366E-01  0.366E-01
  -2.436  0.402E-01  0.402E-01
  -2.386  0.409E-01  0.409E-01
  -2.336  0.396E-01  0.396E-01
  -2.286  0.397E-01  0.397E-01
  -2.236  0.444E-01  0.444E-01
  -2.186  0.541E-01  0.541E-01
  -2.136  0.665E-01  0.665E-01
  -2.086  0.781E-01  0.781E-01
  -2.036  0.869E-01  0.869E-01
  -1.986  0.925E-01  0.925E-01
  -1.936  0.953E-01  0.953E-01
  -1.886  0.959E-01  0.959E-01
  -1.836  0.958E-01  0.958E-01
  -1.786  0.970E-01  0.970E-01
  -1.736  0.101E+00  0.101E+00
  -1.686  0.106E+00  0.106E+00
  -1.636  0.110E+00  0.110E+00
  -1.586  0.111E+00  0.111E+00
  -1.536  0.107E+00  0.107E+00
  -1.486  0.101E+00  0.101E+00
  -1.436  0.956E-01  0.956E-01
  -1.386  0.944E-01  0.944E-01
  -1.336  0.967E-01  0.967E-01
  -1.286  0.991E-01  0.991E-01
  -1.236  0.998E-01  0.998E-01
  -1.186  0.101E+00  0.101E+00
  -1.136  0.108E+00  0.108E+00
  -1.086  0.122E+00  0.122E+00
