# E (eV)   ldos(E)   pdos(E)   
 -17.864  0.138E-03  0.138E-03
 -17.814  0.924E-03  0.924E-03
 -17.764  0.495E-02  0.495E-02
 -17.714  0.212E-01  0.212E-01
 -17.664  0.727E-01  0.727E-01
 -17.614  0.199E+00  0.199E+00
 -17.564  0.437E+00  0.437E+00
 -17.514  0.767E+00  0.767E+00
 -17.464  0.108E+01  0.108E+01
 -17.414  0.121E+01  0.121E+01
 -17.364  0.109E+01  0.109E+01
 -17.314  0.781E+00  0.781E+00
 -17.264  0.449E+00  0.449E+00
 -17.214  0.206E+00  0.206E+00
 -17.164  0.759E-01  0.759E-01
 -17.114  0.223E-01  0.223E-01
 -17.064  0.526E-02  0.526E-02
 -17.014  0.990E-03  0.990E-03
 -16.964  0.149E-03  0.149E-03
 -16.914  0.180E-04  0.180E-04
 -16.864  0.173E-05  0.173E-05
 -16.814  0.133E-06  0.133E-06
 -16.764  0.823E-08  0.823E-08
 -16.714  0.406E-09  0.406E-09
 -16.664  0.160E-10  0.160E-10
 -16.614  0.000E+00  0.000E+00
 -16.564  0.000E+00  0.000E+00
 -16.514  0.000E+00  0.000E+00
 -16.464  0.000E+00  0.000E+00
 -16.414  0.000E+00  0.000E+00
 -16.364  0.000E+00  0.000E+00
 -16.314  0.000E+00  0.000E+00
 -16.264  0.000E+00  0.000E+00
 -16.214  0.000E+00  0.000E+00
 -16.164  0.000E+00  0.000E+00
 -16.114  0.000E+00  0.000E+00
 -16.064  0.000E+00  0.000E+00
 -16.014  0.000E+00  0.000E+00
 -15.964  0.000E+00  0.000E+00
 -15.914  0.000E+00  0.000E+00
 -15.864  0.000E+00  0.000E+00
 -15.814  0.000E+00  0.000E+00
 -15.764  0.000E+00  0.000E+00
 -15.714  0.000E+00  0.000E+00
 -15.664  0.000E+00  0.000E+00
 -15.614  0.000E+00  0.000E+00
 -15.564  0.000E+00  0.000E+00
 -15.514  0.000E+00  0.000E+00
 -15.464  0.000E+00  0.000E+00
 -15.414  0.000E+00  0.000E+00
 -15.364  0.000E+00  0.000E+00
 -15.314  0.000E+00  0.000E+00
 -15.264  0.000E+00  0.000E+00
 -15.214  0.000E+00  0.000E+00
 -15.164  0.000E+00  0.000E+00
 -15.114  0.000E+00  0.000E+00
 -15.064  0.000E+00  0.000E+00
 -15.014  0.000E+00  0.000E+00
 -14.964  0.000E+00  0.000E+00
 -14.914  0.000E+00  0.000E+00
 -14.864  0.000E+00  0.000E+00
 -14.814  0.000E+00  0.000E+00
 -14.764  0.000E+00  0.000E+00
 -14.714  0.000E+00  0.000E+00
 -14.664  0.000E+00  0.000E+00
 -14.614  0.000E+00  0.000E+00
 -14.564  0.000E+00  0.000E+00
 -14.514  0.000E+00  0.000E+00
 -14.464  0.000E+00  0.000E+00
 -14.414  0.000E+00  0.000E+00
 -14.364  0.000E+00  0.000E+00
 -14.314  0.000E+00  0.000E+00
 -14.264  0.000E+00  0.000E+00
 -14.214  0.000E+00  0.000E+00
 -14.164  0.000E+00  0.000E+00
 -14.114  0.000E+00  0.000E+00
 -14.064  0.000E+00  0.000E+00
 -14.014  0.000E+00  0.000E+00
 -13.964  0.000E+00  0.000E+00
 -13.914  0.000E+00  0.000E+00
 -13.864  0.000E+00  0.000E+00
 -13.814  0.000E+00  0.000E+00
 -13.764  0.000E+00  0.000E+00
 -13.714  0.000E+00  0.000E+00
 -13.664  0.000E+00  0.000E+00
 -13.614  0.000E+00  0.000E+00
 -13.564  0.000E+00  0.000E+00
 -13.514  0.000E+00  0.000E+00
 -13.464  0.000E+00  0.000E+00
 -13.414  0.000E+00  0.000E+00
 -13.364  0.000E+00  0.000E+00
 -13.314  0.000E+00  0.000E+00
 -13.264  0.000E+00  0.000E+00
 -13.214  0.000E+00  0.000E+00
 -13.164  0.000E+00  0.000E+00
 -13.114  0.000E+00  0.000E+00
 -13.064  0.000E+00  0.000E+00
 -13.014  0.000E+00  0.000E+00
 -12.964  0.000E+00  0.000E+00
 -12.914  0.000E+00  0.000E+00
 -12.864  0.000E+00  0.000E+00
 -12.814  0.000E+00  0.000E+00
 -12.764  0.000E+00  0.000E+00
 -12.714  0.000E+00  0.000E+00
 -12.664  0.000E+00  0.000E+00
 -12.614  0.000E+00  0.000E+00
 -12.564  0.000E+00  0.000E+00
 -12.514  0.000E+00  0.000E+00
 -12.464  0.000E+00  0.000E+00
 -12.414  0.000E+00  0.000E+00
 -12.364  0.000E+00  0.000E+00
 -12.314  0.000E+00  0.000E+00
 -12.264  0.000E+00  0.000E+00
 -12.214  0.000E+00  0.000E+00
 -12.164  0.000E+00  0.000E+00
 -12.114  0.000E+00  0.000E+00
 -12.064  0.000E+00  0.000E+00
 -12.014  0.000E+00  0.000E+00
 -11.964  0.000E+00  0.000E+00
 -11.914  0.000E+00  0.000E+00
