# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)   
 -17.864  0.666E-04  0.666E-04  0.525E-09  0.525E-09
 -17.814  0.446E-03  0.446E-03  0.351E-08  0.351E-08
 -17.764  0.239E-02  0.239E-02  0.188E-07  0.188E-07
 -17.714  0.102E-01  0.102E-01  0.804E-07  0.804E-07
 -17.664  0.351E-01  0.351E-01  0.275E-06  0.275E-06
 -17.614  0.963E-01  0.963E-01  0.755E-06  0.754E-06
 -17.564  0.211E+00  0.211E+00  0.165E-05  0.165E-05
 -17.514  0.371E+00  0.371E+00  0.290E-05  0.290E-05
 -17.464  0.520E+00  0.520E+00  0.407E-05  0.406E-05
 -17.414  0.584E+00  0.584E+00  0.456E-05  0.456E-05
 -17.364  0.525E+00  0.525E+00  0.409E-05  0.409E-05
 -17.314  0.377E+00  0.377E+00  0.294E-05  0.294E-05
 -17.264  0.217E+00  0.217E+00  0.169E-05  0.169E-05
 -17.214  0.996E-01  0.996E-01  0.775E-06  0.775E-06
 -17.164  0.366E-01  0.366E-01  0.285E-06  0.285E-06
 -17.114  0.108E-01  0.108E-01  0.837E-07  0.837E-07
 -17.064  0.254E-02  0.254E-02  0.197E-07  0.197E-07
 -17.014  0.478E-03  0.478E-03  0.370E-08  0.370E-08
 -16.964  0.720E-04  0.720E-04  0.557E-09  0.557E-09
 -16.914  0.867E-05  0.867E-05  0.670E-10  0.670E-10
 -16.864  0.836E-06  0.836E-06  0.646E-11  0.645E-11
 -16.814  0.644E-07  0.644E-07  0.497E-12  0.497E-12
 -16.764  0.397E-08  0.397E-08  0.306E-13  0.306E-13
 -16.714  0.196E-09  0.196E-09  0.151E-14  0.151E-14
 -16.664  0.774E-11  0.774E-11  0.595E-16  0.595E-16
 -16.614  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.564  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.514  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.464  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.414  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.364  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.314  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.264  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.214  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.164  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.114  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.064  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.014  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.964  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.914  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.864  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.814  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.764  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.714  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.664  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.614  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.564  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.514  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.464  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.414  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.364  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.314  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.264  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.214  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.164  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.114  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.064  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.014  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.964  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.914  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.864  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.814  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.764  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.714  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.664  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.614  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.564  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.514  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.464  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.414  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.364  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.314  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.264  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.214  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -14.164  0.000E+00  0.000E+00  0.000E+00  0.000E+00
