# E (eV)   ldos(E)   pdos(E)    pdos(E)    pdos(E)    pdos(E)    pdos(E)   
 -17.864  0.120E-05  0.749E-07  0.656E-06  0.219E-06  0.617E-07  0.184E-06
 -17.814  0.801E-05  0.502E-06  0.439E-05  0.147E-05  0.413E-06  0.123E-05
 -17.764  0.429E-04  0.269E-05  0.235E-04  0.785E-05  0.221E-05  0.660E-05
 -17.714  0.184E-03  0.115E-04  0.101E-03  0.337E-04  0.947E-05  0.283E-04
 -17.664  0.630E-03  0.395E-04  0.346E-03  0.115E-03  0.325E-04  0.969E-04
 -17.614  0.173E-02  0.108E-03  0.949E-03  0.316E-03  0.890E-04  0.266E-03
 -17.564  0.379E-02  0.238E-03  0.208E-02  0.694E-03  0.195E-03  0.583E-03
 -17.514  0.665E-02  0.418E-03  0.365E-02  0.122E-02  0.342E-03  0.102E-02
 -17.464  0.934E-02  0.586E-03  0.513E-02  0.171E-02  0.480E-03  0.143E-02
 -17.414  0.105E-01  0.659E-03  0.576E-02  0.192E-02  0.539E-03  0.161E-02
 -17.364  0.942E-02  0.592E-03  0.518E-02  0.173E-02  0.484E-03  0.145E-02
 -17.314  0.677E-02  0.425E-03  0.372E-02  0.124E-02  0.348E-03  0.104E-02
 -17.264  0.389E-02  0.245E-03  0.214E-02  0.713E-03  0.200E-03  0.597E-03
 -17.214  0.179E-02  0.113E-03  0.983E-03  0.328E-03  0.918E-04  0.274E-03
 -17.164  0.659E-03  0.414E-04  0.362E-03  0.121E-03  0.338E-04  0.101E-03
 -17.114  0.194E-03  0.122E-04  0.106E-03  0.355E-04  0.993E-05  0.297E-04
 -17.064  0.456E-04  0.287E-05  0.251E-04  0.836E-05  0.234E-05  0.698E-05
 -17.014  0.859E-05  0.540E-06  0.472E-05  0.157E-05  0.440E-06  0.131E-05
 -16.964  0.129E-05  0.814E-07  0.711E-06  0.237E-06  0.662E-07  0.198E-06
 -16.914  0.156E-06  0.981E-08  0.857E-07  0.286E-07  0.798E-08  0.238E-07
 -16.864  0.150E-07  0.946E-09  0.826E-08  0.276E-08  0.769E-09  0.230E-08
 -16.814  0.116E-08  0.730E-10  0.637E-09  0.213E-09  0.592E-10  0.177E-09
 -16.764  0.715E-10  0.450E-11  0.393E-10  0.131E-10  0.365E-11  0.109E-10
 -16.714  0.353E-11  0.222E-12  0.194E-11  0.647E-12  0.180E-12  0.538E-12
 -16.664  0.139E-12  0.877E-14  0.766E-13  0.255E-13  0.711E-14  0.212E-13
 -16.614  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.564  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.514  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.464  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.414  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.364  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.314  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.264  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.214  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.164  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.114  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.064  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -16.014  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.964  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.914  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.864  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.814  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.764  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.714  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
 -15.664  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00
