# E (eV)   ldos(E)   pdos(E)   
 -17.864  0.143E-05  0.143E-05
 -17.814  0.957E-05  0.957E-05
 -17.764  0.512E-04  0.512E-04
 -17.714  0.219E-03  0.219E-03
 -17.664  0.751E-03  0.751E-03
 -17.614  0.206E-02  0.206E-02
 -17.564  0.451E-02  0.451E-02
 -17.514  0.790E-02  0.790E-02
 -17.464  0.111E-01  0.111E-01
 -17.414  0.124E-01  0.124E-01
 -17.364  0.112E-01  0.112E-01
 -17.314  0.801E-02  0.801E-02
 -17.264  0.460E-02  0.460E-02
 -17.214  0.211E-02  0.211E-02
 -17.164  0.776E-03  0.776E-03
 -17.114  0.228E-03  0.228E-03
 -17.064  0.537E-04  0.537E-04
 -17.014  0.101E-04  0.101E-04
 -16.964  0.152E-05  0.152E-05
 -16.914  0.183E-06  0.183E-06
 -16.864  0.176E-07  0.176E-07
 -16.814  0.136E-08  0.136E-08
 -16.764  0.836E-10  0.836E-10
 -16.714  0.412E-11  0.412E-11
 -16.664  0.162E-12  0.162E-12
 -16.614  0.000E+00  0.000E+00
 -16.564  0.000E+00  0.000E+00
 -16.514  0.000E+00  0.000E+00
 -16.464  0.000E+00  0.000E+00
 -16.414  0.000E+00  0.000E+00
 -16.364  0.000E+00  0.000E+00
 -16.314  0.000E+00  0.000E+00
 -16.264  0.000E+00  0.000E+00
 -16.214  0.000E+00  0.000E+00
 -16.164  0.000E+00  0.000E+00
 -16.114  0.000E+00  0.000E+00
 -16.064  0.000E+00  0.000E+00
 -16.014  0.000E+00  0.000E+00
 -15.964  0.000E+00  0.000E+00
 -15.914  0.000E+00  0.000E+00
 -15.864  0.000E+00  0.000E+00
 -15.814  0.000E+00  0.000E+00
 -15.764  0.000E+00  0.000E+00
 -15.714  0.000E+00  0.000E+00
 -15.664  0.000E+00  0.000E+00
 -15.614  0.000E+00  0.000E+00
 -15.564  0.000E+00  0.000E+00
 -15.514  0.000E+00  0.000E+00
 -15.464  0.000E+00  0.000E+00
 -15.414  0.000E+00  0.000E+00
 -15.364  0.000E+00  0.000E+00
 -15.314  0.000E+00  0.000E+00
 -15.264  0.000E+00  0.000E+00
 -15.214  0.000E+00  0.000E+00
 -15.164  0.000E+00  0.000E+00
 -15.114  0.000E+00  0.000E+00
 -15.064  0.000E+00  0.000E+00
 -15.014  0.000E+00  0.000E+00
 -14.964  0.000E+00  0.000E+00
 -14.914  0.000E+00  0.000E+00
