    0.0000  -18.7556	  0.00000000E+00 -0.18755577E+02
    0.0157  -18.7556	  0.24810378E-01 -0.18755577E+02
    0.0314  -18.7556	  0.49620756E-01 -0.18755567E+02
    0.0471  -18.7555	  0.74431134E-01 -0.18755544E+02
    0.0629  -18.7555	  0.99241512E-01 -0.18755510E+02
    0.0786  -18.7555	  0.12405189E+00 -0.18755465E+02
    0.0943  -18.7554	  0.14886227E+00 -0.18755412E+02
    0.1100  -18.7554	  0.17367265E+00 -0.18755353E+02
    0.1257  -18.7553	  0.19848302E+00 -0.18755293E+02
    0.1414  -18.7552	  0.22329340E+00 -0.18755231E+02
    0.1571  -18.7552	  0.24810378E+00 -0.18755167E+02
    0.1728  -18.7551	  0.27291416E+00 -0.18755098E+02
    0.1886  -18.7550	  0.29772454E+00 -0.18755023E+02
    0.2043  -18.7549	  0.32253491E+00 -0.18754941E+02
    0.2200  -18.7548	  0.34734529E+00 -0.18754854E+02
    0.2357  -18.7548	  0.37215567E+00 -0.18754762E+02
    0.2514  -18.7547	  0.39696605E+00 -0.18754669E+02
    0.2671  -18.7546	  0.42177643E+00 -0.18754578E+02
    0.2828  -18.7545	  0.44658680E+00 -0.18754493E+02
    0.2986  -18.7544	  0.47139718E+00 -0.18754419E+02
    0.3143  -18.7544	  0.49620756E+00 -0.18754352E+02
    0.3300  -18.7543	  0.52101794E+00 -0.18754288E+02
    0.3457  -18.7542	  0.54582832E+00 -0.18754221E+02
    0.3614  -18.7542	  0.57063869E+00 -0.18754153E+02
    0.3771  -18.7541	  0.59544907E+00 -0.18754096E+02
    0.3928  -18.7541	  0.62025945E+00 -0.18754054E+02
    0.4086  -18.7540	  0.64506983E+00 -0.18754025E+02
    0.4243  -18.7540	  0.66988021E+00 -0.18754002E+02
    0.4400  -18.7540	  0.69469058E+00 -0.18753981E+02
    0.4557  -18.7539	  0.71950096E+00 -0.18753961E+02
    0.4714  -18.7539	  0.74431134E+00 -0.18753948E+02
    0.4874  -18.7539	  0.76952293E+00 -0.18753960E+02
    0.5033  -18.7540	  0.79473451E+00 -0.18753967E+02
    0.5193  -18.7540	  0.81994610E+00 -0.18753969E+02
    0.5353  -18.7540	  0.84515769E+00 -0.18753970E+02
    0.5512  -18.7540	  0.87036928E+00 -0.18753978E+02
    0.5672  -18.7540	  0.89558086E+00 -0.18753998E+02
    0.5832  -18.7540	  0.92079245E+00 -0.18754027E+02
    0.5991  -18.7541	  0.94600404E+00 -0.18754061E+02
    0.6151  -18.7541	  0.97121562E+00 -0.18754093E+02
    0.6311  -18.7541	  0.99642721E+00 -0.18754121E+02
    0.6470  -18.7541	  0.10216388E+01 -0.18754145E+02
    0.6630  -18.7542	  0.10468504E+01 -0.18754172E+02
    0.6790  -18.7542	  0.10720620E+01 -0.18754206E+02
    0.6950  -18.7542	  0.10972736E+01 -0.18754246E+02
    0.7109  -18.7543	  0.11224851E+01 -0.18754285E+02
    0.7269  -18.7543	  0.11476967E+01 -0.18754316E+02
    0.7429  -18.7543	  0.11729083E+01 -0.18754335E+02
    0.7588  -18.7543	  0.11981199E+01 -0.18754343E+02
    0.7748  -18.7544	  0.12233315E+01 -0.18754347E+02
    0.7908  -18.7544	  0.12485431E+01 -0.18754353E+02
    0.8067  -18.7544	  0.12737547E+01 -0.18754366E+02
    0.8227  -18.7544	  0.12989663E+01 -0.18754385E+02
    0.8387  -18.7544	  0.13241778E+01 -0.18754402E+02
    0.8546  -18.7544	  0.13493894E+01 -0.18754408E+02
    0.8706  -18.7544	  0.13746010E+01 -0.18754398E+02
    0.8866  -18.7544	  0.13998126E+01 -0.18754374E+02
    0.9021  -18.7544	  0.14243749E+01 -0.18754497E+02
    0.9177  -18.7545	  0.14489372E+01 -0.18754606E+02
    0.9332  -18.7546	  0.14734994E+01 -0.18754684E+02
    0.9488  -18.7547	  0.14980617E+01 -0.18754733E+02
    0.9643  -18.7548	  0.15226240E+01 -0.18754768E+02
    0.9799  -18.7549	  0.15471863E+01 -0.18754814E+02
    0.9955  -18.7549	  0.15717485E+01 -0.18754887E+02
    1.0110  -18.7550	  0.15963108E+01 -0.18754982E+02
    1.0266  -18.7551	  0.16208731E+01 -0.18755083E+02
    1.0421  -18.7552	  0.16454354E+01 -0.18755172E+02
    1.0577  -18.7552	  0.16699976E+01 -0.18755241E+02
    1.0732  -18.7553	  0.16945599E+01 -0.18755296E+02
    1.0888  -18.7554	  0.17191222E+01 -0.18755348E+02
    1.1044  -18.7554	  0.17436844E+01 -0.18755404E+02
    1.1199  -18.7555	  0.17682467E+01 -0.18755465E+02
    1.1355  -18.7555	  0.17928090E+01 -0.18755522E+02
    1.1510  -18.7555	  0.18173713E+01 -0.18755565E+02
    1.1666  -18.7556	  0.18419335E+01 -0.18755586E+02
    1.1821  -18.7556	  0.18664958E+01 -0.18755588E+02
    1.1977  -18.7556	  0.18910581E+01 -0.18755577E+02
    0.0000   -5.0726	  0.00000000E+00 -0.50725622E+01
    0.0157   -5.0722	  0.24810378E-01 -0.50720877E+01
    0.0314   -5.0710	  0.49620756E-01 -0.50708782E+01
    0.0471   -5.0690	  0.74431134E-01 -0.50689425E+01
    0.0629   -5.0663	  0.99241512E-01 -0.50662918E+01
    0.0786   -5.0630	  0.12405189E+00 -0.50629667E+01
    0.0943   -5.0590	  0.14886227E+00 -0.50590476E+01
    0.1100   -5.0546	  0.17367265E+00 -0.50546369E+01
    0.1257   -5.0497	  0.19848302E+00 -0.50498230E+01
    0.1414   -5.0446	  0.22329340E+00 -0.50446526E+01
    0.1571   -5.0391	  0.24810378E+00 -0.50391450E+01
    0.1728   -5.0336	  0.27291416E+00 -0.50333614E+01
    0.1886   -5.0279	  0.29772454E+00 -0.50274697E+01
    0.2043   -5.0223	  0.32253491E+00 -0.50217173E+01
    0.2200   -5.0167	  0.34734529E+00 -0.50163007E+01
    0.2357   -5.0112	  0.37215567E+00 -0.50112323E+01
    0.2514   -5.0060	  0.39696605E+00 -0.50063412E+01
    0.2671   -5.0009	  0.42177643E+00 -0.50014477E+01
    0.2828   -4.9961	  0.44658680E+00 -0.49965485E+01
    0.2986   -4.9916	  0.47139718E+00 -0.49918150E+01
    0.3143   -4.9874	  0.49620756E+00 -0.49874296E+01
    0.3300   -4.9836	  0.52101794E+00 -0.49834698E+01
    0.3457   -4.9801	  0.54582832E+00 -0.49799415E+01
    0.3614   -4.9770	  0.57063869E+00 -0.49768550E+01
    0.3771   -4.9743	  0.59544907E+00 -0.49742295E+01
