  0.00000000E+00 -0.19451781E+02	    0.0000  -19.4518
  0.24646505E-01 -0.19451767E+02	    0.0157  -19.4518
  0.49293010E-01 -0.19451745E+02	    0.0314  -19.4518
  0.73939515E-01 -0.19451721E+02	    0.0471  -19.4517
  0.98586020E-01 -0.19451699E+02	    0.0629  -19.4517
  0.12323252E+00 -0.19451677E+02	    0.0786  -19.4517
  0.14787903E+00 -0.19451648E+02	    0.0943  -19.4516
  0.17252553E+00 -0.19451607E+02	    0.1100  -19.4516
  0.19717204E+00 -0.19451549E+02	    0.1257  -19.4515
  0.22181854E+00 -0.19451480E+02	    0.1414  -19.4515
  0.24646505E+00 -0.19451405E+02	    0.1571  -19.4514
  0.27111155E+00 -0.19451333E+02	    0.1728  -19.4513
  0.29575806E+00 -0.19451264E+02	    0.1886  -19.4513
  0.32040456E+00 -0.19451195E+02	    0.2043  -19.4512
  0.34505107E+00 -0.19451120E+02	    0.2200  -19.4511
  0.36969757E+00 -0.19451036E+02	    0.2357  -19.4510
  0.39434408E+00 -0.19450947E+02	    0.2514  -19.4510
  0.41899058E+00 -0.19450860E+02	    0.2671  -19.4509
  0.44363709E+00 -0.19450782E+02	    0.2828  -19.4508
  0.46828359E+00 -0.19450717E+02	    0.2986  -19.4507
  0.49293010E+00 -0.19450662E+02	    0.3143  -19.4507
  0.51757660E+00 -0.19450612E+02	    0.3300  -19.4506
  0.54222311E+00 -0.19450560E+02	    0.3457  -19.4505
  0.56686961E+00 -0.19450502E+02	    0.3614  -19.4505
  0.59151612E+00 -0.19450443E+02	    0.3771  -19.4504
  0.61616262E+00 -0.19450392E+02	    0.3928  -19.4504
  0.64080913E+00 -0.19450354E+02	    0.4086  -19.4504
  0.66545563E+00 -0.19450330E+02	    0.4243  -19.4503
  0.69010214E+00 -0.19450314E+02	    0.4400  -19.4503
  0.71474864E+00 -0.19450303E+02	    0.4557  -19.4503
  0.73939515E+00 -0.19450294E+02	    0.4714  -19.4503
  0.76444021E+00 -0.19450310E+02	    0.4874  -19.4503
  0.78948528E+00 -0.19450324E+02	    0.5033  -19.4503
  0.81453034E+00 -0.19450330E+02	    0.5193  -19.4503
  0.83957541E+00 -0.19450327E+02	    0.5353  -19.4503
  0.86462047E+00 -0.19450323E+02	    0.5512  -19.4503
  0.88966553E+00 -0.19450328E+02	    0.5672  -19.4504
  0.91471060E+00 -0.19450352E+02	    0.5832  -19.4504
  0.93975566E+00 -0.19450393E+02	    0.5991  -19.4504
  0.96480073E+00 -0.19450446E+02	    0.6151  -19.4504
  0.98984579E+00 -0.19450495E+02	    0.6311  -19.4504
  0.10148909E+01 -0.19450526E+02	    0.6470  -19.4505
  0.10399359E+01 -0.19450535E+02	    0.6630  -19.4505
  0.10649810E+01 -0.19450528E+02	    0.6790  -19.4505
  0.10900260E+01 -0.19450520E+02	    0.6950  -19.4506
  0.11150711E+01 -0.19450526E+02	    0.7109  -19.4506
  0.11401162E+01 -0.19450552E+02	    0.7269  -19.4506
  0.11651612E+01 -0.19450596E+02	    0.7429  -19.4506
  0.11902063E+01 -0.19450645E+02	    0.7588  -19.4506
  0.12152514E+01 -0.19450682E+02	    0.7748  -19.4507
  0.12402964E+01 -0.19450695E+02	    0.7908  -19.4507
  0.12653415E+01 -0.19450682E+02	    0.8067  -19.4507
  0.12903866E+01 -0.19450653E+02	    0.8227  -19.4507
  0.13154316E+01 -0.19450628E+02	    0.8387  -19.4507
  0.13404767E+01 -0.19450623E+02	    0.8546  -19.4507
  0.13655218E+01 -0.19450640E+02	    0.8706  -19.4507
  0.13905668E+01 -0.19450671E+02	    0.8866  -19.4507
  0.14149669E+01 -0.19450733E+02	    0.9021  -19.4507
  0.14393669E+01 -0.19450804E+02	    0.9177  -19.4508
  0.14637669E+01 -0.19450883E+02	    0.9332  -19.4509
  0.14881670E+01 -0.19450967E+02	    0.9488  -19.4510
  0.15125670E+01 -0.19451049E+02	    0.9643  -19.4510
